date	close	fakedate	year
12-Jun-12	73.09	12-Jun-14	2012
5-Jun-12	70.84	5-Jun-14	2012
29-May-12	65.55	29-May-14	2012
22-May-12	63.46	22-May-14	2012
15-May-12	50.05	15-May-14	2012
8-May-12	48.66	8-May-14	2012
1-May-12	51	1-May-14	2012
24-Apr-12	56.15	24-Apr-14	2012
17-Apr-12	57.34	17-Apr-14	2012
10-Apr-12	62.29	10-Apr-14	2012
3-Apr-12	66.55	3-Apr-14	2012
27-Mar-12	60.18	27-Mar-14	2012
20-Mar-12	57.15	20-Mar-14	2012
13-Mar-12	57.83	13-Mar-14	2012
6-Mar-12	54.18	6-Mar-14	2012
28-Feb-12	55.21	28-Feb-14	2012
21-Feb-12	55.3	21-Feb-14	2012
14-Feb-12	55.19	14-Feb-14	2012
7-Feb-12	53.76	7-Feb-14	2012
31-Jan-12	59.79	31-Jan-14	2012
24-Jan-12	59.97	24-Jan-14	2012
17-Jan-12	53.41	17-Jan-14	2012
10-Jan-12	48.3	10-Jan-14	2012
3-Jan-12	42.38	3-Jan-14	2012
27-Dec-11	38.34	27-Dec-14	2011
20-Dec-11	39.72	20-Dec-14	2011
13-Dec-11	36.32	13-Dec-14	2011
6-Dec-11	36.54	6-Dec-14	2011
29-Nov-11	39.07	29-Nov-14	2011
22-Nov-11	36.22	22-Nov-14	2011
15-Nov-11	35.54	15-Nov-14	2011
8-Nov-11	35.31	8-Nov-14	2011
1-Nov-11	33.81	1-Nov-14	2011
25-Oct-11	29.47	25-Oct-14	2011
18-Oct-11	28.86	18-Oct-14	2011
11-Oct-11	28.58	11-Oct-14	2011
4-Oct-11	36.63	4-Oct-14	2011
27-Sep-11	29.91	27-Sep-14	2011
20-Sep-11	29.91	20-Sep-14	2011
13-Sep-11	35.33	13-Sep-14	2011
6-Sep-11	27.38	6-Sep-14	2011
30-Aug-11	25.44	30-Aug-14	2011
23-Aug-11	24.2	23-Aug-14	2011
16-Aug-11	23.22	16-Aug-14	2011
9-Aug-11	21.94	9-Aug-14	2011
2-Aug-11	22.64	2-Aug-14	2011
26-Jul-11	20.43	26-Jul-14	2011
19-Jul-11	19.72	19-Jul-14	2011
12-Jul-11	19.97	12-Jul-14	2011
5-Jul-11	24.48	5-Jul-14	2011
28-Jun-11	22.88	28-Jun-14	2011
21-Jun-11	20.12	21-Jun-14	2011
14-Jun-11	21.01	14-Jun-14	2011
7-Jun-11	20.84	7-Jun-14	2011
31-May-11	20.66	31-May-14	2011
24-May-11	22.6	24-May-14	2011
17-May-11	28.07	17-May-14	2011
10-May-11	33.38	10-May-14	2011
3-May-11	33.08	3-May-14	2011
26-Apr-11	31.13	26-Apr-14	2011
19-Apr-11	35.45	19-Apr-14	2011
12-Apr-11	37.79	12-Apr-14	2011
5-Apr-11	37.51	5-Apr-14	2011
29-Mar-11	37.43	29-Mar-14	2011
22-Mar-11	37.27	22-Mar-14	2011
15-Mar-11	33.96	15-Mar-14	2011
8-Mar-11	35.9	8-Mar-14	2011
1-Mar-11	35.67	1-Mar-14	2011
22-Feb-11	37.75	22-Feb-14	2011
15-Feb-11	37.75	15-Feb-14	2011
8-Feb-11	37.75	8-Feb-14	2011
1-Feb-11	38.99	1-Feb-14	2011
25-Jan-11	38.99	25-Jan-14	2011
18-Jan-11	38.99	18-Jan-14	2011
11-Jan-11	38.99	11-Jan-14	2011
4-Jan-11	39.52	4-Jan-14	2011
28-Dec-10	39.65	28-Dec-14	2010
21-Dec-10	38.95	21-Dec-14	2010
14-Dec-10	36.97	14-Dec-14	2010
7-Dec-10	33.39	7-Dec-14	2010
30-Nov-10	33.71	30-Nov-14	2010
23-Nov-10	32.58	23-Nov-14	2010
16-Nov-10	37.48	16-Nov-14	2010
9-Nov-10	39.04	9-Nov-14	2010
2-Nov-10	35.34	2-Nov-14	2010
26-Oct-10	34.55	26-Oct-14	2010
19-Oct-10	34.33	19-Oct-14	2010
12-Oct-10	33.47	12-Oct-14	2010
5-Oct-10	34.95	5-Oct-14	2010
28-Sep-10	34.94	28-Sep-14	2010
21-Sep-10	26.42	21-Sep-14	2010
14-Sep-10	18.39	14-Sep-14	2010
7-Sep-10	15.8	7-Sep-14	2010
31-Aug-10	16.01	31-Aug-14	2010
24-Aug-10	11.86	24-Aug-14	2010
17-Aug-10	12.3	17-Aug-14	2010
10-Aug-10	10.01	10-Aug-14	2010
3-Aug-10	9.44	3-Aug-14	2010
27-Jul-10	10.24	27-Jul-14	2010
20-Jul-10	10.83	20-Jul-14	2010
13-Jul-10	10.5	13-Jul-14	2010
6-Jul-10	10.5	6-Jul-14	2010
29-Jun-10	12.25	29-Jun-14	2010
22-Jun-10	11.94	22-Jun-14	2010
15-Jun-10	10.89	15-Jun-14	2010
8-Jun-10	11.62	8-Jun-14	2010
1-Jun-10	11.11	1-Jun-14	2010
25-May-10	11.14	25-May-14	2010
18-May-10	13.74	18-May-14	2010
11-May-10	17.05	11-May-14	2010
4-May-10	19.2	4-May-14	2010
27-Apr-10	19.72	27-Apr-14	2010
20-Apr-10	19.72	20-Apr-14	2010
13-Apr-10	19.73	13-Apr-14	2010
6-Apr-10	18.67	6-Apr-14	2010
30-Mar-10	18.67	30-Mar-14	2010
23-Mar-10	18.52	23-Mar-14	2010
16-Mar-10	18.59	16-Mar-14	2010
9-Mar-10	18.46	9-Mar-14	2010
2-Mar-10	19.01	2-Mar-14	2010
23-Feb-10	19.01	23-Feb-14	2010
16-Feb-10	20.73	16-Feb-14	2010
9-Feb-10	15.66	9-Feb-14	2010
2-Feb-10	15.66	2-Feb-14	2010
26-Jan-10	13.58	26-Jan-14	2010
19-Jan-10	14.14	19-Jan-14	2010
12-Jan-10	13.96	12-Jan-14	2010
5-Jan-10	10.28	5-Jan-14	2010
29-Dec-09	10.35	29-Dec-14	2009
22-Dec-09	9.21	22-Dec-14	2009
15-Dec-09	9.21	15-Dec-14	2009
8-Dec-09	8.78	8-Dec-14	2009
1-Dec-09	6.77	1-Dec-14	2009
24-Nov-09	6.74	24-Nov-14	2009
17-Nov-09	5.14	17-Nov-14	2009
10-Nov-09	5.14	10-Nov-14	2009
3-Nov-09	5.07	3-Nov-14	2009
27-Oct-09	5.07	27-Oct-14	2009
20-Oct-09	8.91	20-Oct-14	2009
13-Oct-09	11.17	13-Oct-14	2009
6-Oct-09	11.65	6-Oct-14	2009
29-Sep-09	12.11	29-Sep-14	2009
22-Sep-09	11.43	22-Sep-14	2009
15-Sep-09	14.46	15-Sep-14	2009
8-Sep-09	17.08	8-Sep-14	2009
1-Sep-09	12.27	1-Sep-14	2009
25-Aug-09	12.82	25-Aug-14	2009
18-Aug-09	11.59	18-Aug-14	2009
11-Aug-09	15.42	11-Aug-14	2009
4-Aug-09	13.14	4-Aug-14	2009
28-Jul-09	9.97	28-Jul-14	2009
21-Jul-09	9.7	21-Jul-14	2009
14-Jul-09	9.06	14-Jul-14	2009
7-Jul-09	10.04	7-Jul-14	2009
30-Jun-09	9.77	30-Jun-14	2009
23-Jun-09	11.02	23-Jun-14	2009
16-Jun-09	18.47	16-Jun-14	2009
9-Jun-09	20.69	9-Jun-14	2009
2-Jun-09	21.93	2-Jun-14	2009
26-May-09	11.12	26-May-14	2009
19-May-09	17.95	19-May-14	2009
12-May-09	14.33	12-May-14	2009
5-May-09	17.8	5-May-14	2009
28-Apr-09	23.99	28-Apr-14	2009
21-Apr-09	20.8	21-Apr-14	2009
14-Apr-09	32.1	14-Apr-14	2009
7-Apr-09	35.2	7-Apr-14	2009
31-Mar-09	39.2	31-Mar-14	2009
24-Mar-09	41.63	24-Mar-14	2009
17-Mar-09	41.01	17-Mar-14	2009
10-Mar-09	41.01	10-Mar-14	2009
3-Mar-09	41.29	3-Mar-14	2009
24-Feb-09	33.48	24-Feb-14	2009
17-Feb-09	34.24	17-Feb-14	2009
10-Feb-09	34.23	10-Feb-14	2009
3-Feb-09	33.07	3-Feb-14	2009
27-Jan-09	35.57	27-Jan-14	2009
20-Jan-09	33.12	20-Jan-14	2009
13-Jan-09	33.82	13-Jan-14	2009
6-Jan-09	34.94	6-Jan-14	2009
30-Dec-08	35.68	30-Dec-14	2008
23-Dec-08	38.91	23-Dec-14	2008
16-Dec-08	38.77	16-Dec-14	2008
9-Dec-08	38.48	9-Dec-14	2008
2-Dec-08	38.39	2-Dec-14	2008
25-Nov-08	33.33	25-Nov-14	2008
18-Nov-08	33.33	18-Nov-14	2008
11-Nov-08	29.18	11-Nov-14	2008
4-Nov-08	29.6	4-Nov-14	2008
28-Oct-08	29.69	28-Oct-14	2008
21-Oct-08	30.13	21-Oct-14	2008
14-Oct-08	30.45	14-Oct-14	2008
7-Oct-08	39.15	7-Oct-14	2008
30-Sep-08	39.19	30-Sep-14	2008
23-Sep-08	39.21	23-Sep-14	2008
16-Sep-08	40.17	16-Sep-14	2008
9-Sep-08	43.1	9-Sep-14	2008
2-Sep-08	45.22	2-Sep-14	2008
26-Aug-08	50.94	26-Aug-14	2008
19-Aug-08	45.26	19-Aug-14	2008
12-Aug-08	49.61	12-Aug-14	2008
5-Aug-08	55.92	5-Aug-14	2008
29-Jul-08	49.49	29-Jul-14	2008
22-Jul-08	50.68	22-Jul-14	2008
15-Jul-08	41.34	15-Jul-14	2008
8-Jul-08	37.77	8-Jul-14	2008
1-Jul-08	35.09	1-Jul-14	2008
24-Jun-08	36.06	24-Jun-14	2008
17-Jun-08	37.29	17-Jun-14	2008
10-Jun-08	35.75	10-Jun-14	2008
3-Jun-08	38.05	3-Jun-14	2008
27-May-08	40.87	27-May-14	2008
20-May-08	53.24	20-May-14	2008
13-May-08	52.26	13-May-14	2008
6-May-08	53.89	6-May-14	2008
29-Apr-08	55.49	29-Apr-14	2008
22-Apr-08	55.88	22-Apr-14	2008
15-Apr-08	55.88	15-Apr-14	2008
8-Apr-08	56.44	8-Apr-14	2008
1-Apr-08	57.37	1-Apr-14	2008
25-Mar-08	59.87	25-Mar-14	2008
18-Mar-08	59.62	18-Mar-14	2008
11-Mar-08	59.62	11-Mar-14	2008
4-Mar-08	59.62	4-Mar-14	2008
26-Feb-08	59.8	26-Feb-14	2008
19-Feb-08	59.79	19-Feb-14	2008
12-Feb-08	59.88	12-Feb-14	2008
5-Feb-08	59.88	5-Feb-14	2008
29-Jan-08	56.55	29-Jan-14	2008
22-Jan-08	53.97	22-Jan-14	2008
15-Jan-08	53.97	15-Jan-14	2008
8-Jan-08	53.26	8-Jan-14	2008
1-Jan-08	53.16	1-Jan-14	2008
25-Dec-07	53.16	25-Dec-14	2007
18-Dec-07	53.16	18-Dec-14	2007
11-Dec-07	55.19	11-Dec-14	2007
4-Dec-07	56.64	4-Dec-14	2007
27-Nov-07	49.39	27-Nov-14	2007
20-Nov-07	47.59	20-Nov-14	2007
13-Nov-07	47.59	13-Nov-14	2007
6-Nov-07	42.83	6-Nov-14	2007
30-Oct-07	41.94	30-Oct-14	2007
23-Oct-07	42.06	23-Oct-14	2007
16-Oct-07	42.11	16-Oct-14	2007
9-Oct-07	43.84	9-Oct-14	2007
2-Oct-07	44.22	2-Oct-14	2007
