county_orig	county_clean	state_clean	count	match	fips	error	err2	
COLONIAL HEIGHTS CITY(VA)	COLONIAL HEIGHTS CITY	VA	6	COLONIAL HEIGHTS CITY-VA	48570	FALSE	0	
HANOVER(VA)	HANOVER	VA	6	HANOVER-VA	48085	FALSE	0	
ISLE OF WIGHT(VA)	ISLE OF WIGHT	VA	5	ISLE OF WIGHT-VA	28093	FALSE	0	
MONTGOMERY(VA)	MONTGOMERY	VA	5	MONTGOMERY-VA	26121	FALSE	0	
STAFFORD(VA)	STAFFORD	VA	5	STAFFORD-VA	06179	FALSE	0	
BUCHANAN(VA)	BUCHANAN	VA	4	BUCHANAN-VA	51027	FALSE	0	
PRINCE WILLIAM(VA)	PRINCE WILLIAM	VA	4	PRINCE WILLIAM-VA	44153	FALSE	0	
ROANOKE CITY(VA)	ROANOKE CITY	VA	4	ROANOKE CITY-VA	51770	FALSE	0	
BOTETOURT(VA)	BOTETOURT	VA	3	BOTETOURT-VA	38023	FALSE	0	
FAIRFAX(VA)	FAIRFAX	VA	3	FAIRFAX-VA	09059	FALSE	0	
HENRY(VA)	HENRY	VA	3	HENRY-VA	36089	FALSE	0	
LYNCHBURG CITY(VA)	LYNCHBURG CITY	VA	3	LYNCHBURG CITY-VA	48680	FALSE	0	
MANASSAS CITY(VA)	MANASSAS CITY	VA	3	MANASSAS CITY-VA	51683	FALSE	0	
NORTON CITY(VA)	NORTON CITY	VA	3	NORTON CITY-VA	20720	FALSE	0	
ALBEMARLE(VA)	ALBEMARLE	VA	2	ALBEMARLE-VA	26003	FALSE	0	
BEDFORD(VA)	BEDFORD	VA	2	BEDFORD-VA	48019	FALSE	0	
EMPORIA CITY(VA)	EMPORIA CITY	VA	2	EMPORIA CITY-VA	48595	FALSE	0	
FAIRFAX CITY(VA)	FAIRFAX CITY	VA	2	FAIRFAX CITY-VA	51600	FALSE	0	
GRAYSON(VA)	GRAYSON	VA	2	GRAYSON-VA	20077	FALSE	0	
GREENE(VA)	GREENE	VA	2	GREENE-VA	04079	FALSE	0	
LEE(VA)	LEE	VA	2	LEE-VA	26105	FALSE	0	
MANASSAS PARK CITY(VA)	MANASSAS PARK CITY	VA	2	MANASSAS PARK CITY-VA	12685	FALSE	0	
MARTINSVILLE CITY(VA)	MARTINSVILLE CITY	VA	2	MARTINSVILLE CITY-VA	17690	FALSE	0	
PATRICK(VA)	PATRICK	VA	2	PATRICK-VA	13141	FALSE	0	
ROANOKE(VA)	ROANOKE	VA	2	ROANOKE-VA	46161	FALSE	0	
ROCKBRIDGE(VA)	ROCKBRIDGE	VA	2	ROCKBRIDGE-VA	21163	FALSE	0	
SMYTH(VA)	SMYTH	VA	2	SMYTH-VA	53173	FALSE	0	
SUSSEX(VA)	SUSSEX	VA	2	SUSSEX-VA	06183	FALSE	0	
WISE(VA)	WISE	VA	2	WISE-VA	21195	FALSE	0	
YORK(VA)	YORK	VA	2	YORK-VA	48199	FALSE	0	
ACCOMACK(VA)	ACCOMACK	VA	1	ACCOMACK-VA	16001	FALSE	0	90
AMELIA(VA)	AMELIA	VA	1	AMELIA-VA	51007	FALSE	0	
APPOMATTOX(VA)	APPOMATTOX	VA	1	APPOMATTOX-VA	48011	FALSE	0	
BLAND(VA)	BLAND	VA	1	BLAND-VA	13021	FALSE	0	
CARROLL(VA)	CARROLL	VA	1	CARROLL-VA	32035	FALSE	0	
CHARLOTTE(VA)	CHARLOTTE	VA	1	CHARLOTTE-VA	51037	FALSE	0	
